State,2010,2011,2012,2013,2014,2015
Johor,22427,20970,19068,17105,15082,13480
Kedah,11722,10667,10100,8636,8028,7817
Kelantan,7210,6199,6053,5737,5603,5031
Kuala Lumpur,28495,25002,23022,22319,18293,15946
Melaka,5369,4830,4764,4186,3675,2948
Negeri Sembilan,6816,6050,6563,5993,5495,4787
Pahang,6194,5994,5619,5257,5085,4257
Perak,11364,9869,8545,7429,6860,6228
Perlis,1089,1113,974,831,814,741
Pulau Pinang,12473,9758,8399,7936,7491,6698
Sabah,7680,6617,6046,5772,5210,5176
Sarawak,11760,11083,10382,9191,7556,7230
Selangor,49469,44302,40629,43060,36165,32547
Terengganu,4094,3841,3505,3610,3213,2659
